0<= x < 30; y_0 = 50.0 + 0.6x; interpolation 
2610<= x < 2640; y_87 = 1811.0 + -0.6666666666666666x; interpolation 
2640<= x < 2670; y_88 = -565.0 + 0.23333333333333334x; interpolation 
2670<= x < 2700; y_89 = -1277.0 + 0.5x; interpolation 
2700<= x < 2730; y_90 = 253.0 + -0.06666666666666667x; interpolation 
2730<= x < 2760; y_91 = 71.0 + 0.0x; interpolation 
2760<= x < 2790; y_92 = 255.0 + -0.06666666666666667x; interpolation 
2790<= x < 2820; y_93 = 1371.0 + -0.4666666666666667x; interpolation 
2820<= x < 2850; y_94 = -227.0 + 0.1x; interpolation 
2850<= x < 2880; y_95 = -1177.0 + 0.43333333333333335x; interpolation 
2880<= x < 2910; y_96 = 1319.0 + -0.43333333333333335x; interpolation 
2910<= x < 2940; y_97 = -1397.0 + 0.5x; interpolation 
2940<= x < 2970; y_98 = 269.0 + -0.06666666666666667x; interpolation 
2970<= x < 3000; y_99 = 71.0 + 0.0x; interpolation 
3000<= x < 3030; y_100 = 71.0 + 0.0x; interpolation 
3030<= x < 3060; y_101 = 71.0 + 0.0x; interpolation 
3060<= x < 3090; y_102 = 71.0 + 0.0x; interpolation 
3090<= x < 3120; y_103 = -238.0 + 0.1x; interpolation 
3120<= x < 3150; y_104 = 282.0 + -0.06666666666666667x; interpolation 
3150<= x < 3180; y_105 = 1647.0 + -0.5x; interpolation 
3180<= x < 3210; y_106 = -1427.0 + 0.4666666666666667x; interpolation 
3210<= x < 3240; y_107 = 1676.0 + -0.5x; interpolation 
3240<= x < 3270; y_108 = -160.0 + 0.06666666666666667x; interpolation 
3270<= x < 3300; y_109 = -1359.0 + 0.43333333333333335x; interpolation 
3300<= x < 3330; y_110 = 181.0 + -0.03333333333333333x; interpolation 
3330<= x < 3360; y_111 = -263.0 + 0.1x; interpolation 
3360<= x < 3390; y_112 = -39.0 + 0.03333333333333333x; interpolation 
3390<= x < 3420; y_113 = 74.0 + 0.0x; interpolation 
3420<= x < 3450; y_114 = 188.0 + -0.03333333333333333x; interpolation 
3450<= x < 3480; y_115 = 188.0 + -0.03333333333333333x; interpolation 
3480<= x < 3510; y_116 = 1580.0 + -0.43333333333333335x; interpolation 
3510<= x < 3540; y_117 = -1462.0 + 0.43333333333333335x; interpolation 
3540<= x < 3570; y_118 = 308.0 + -0.06666666666666667x; interpolation 
3570<= x < 3600; y_119 = -287.0 + 0.1x; interpolation 
