0<= x < 30; y_0 = 63.0 + 0.6x; interpolation 
30<= x < 60; y_1 = 99.0 + -0.6x; interpolation 
60<= x < 90; y_2 = 25.0 + 0.6333333333333333x; interpolation 
90<= x < 120; y_3 = 121.0 + -0.43333333333333335x; interpolation 
120<= x < 150; y_4 = 21.0 + 0.4x; interpolation 
150<= x < 180; y_5 = 96.0 + -0.1x; interpolation 
180<= x < 210; y_6 = 42.0 + 0.2x; interpolation 
210<= x < 240; y_7 = 133.0 + -0.23333333333333334x; interpolation 
240<= x < 270; y_8 = 45.0 + 0.13333333333333333x; interpolation 
270<= x < 300; y_9 = 99.0 + -0.06666666666666667x; interpolation 
300<= x < 330; y_10 = 189.0 + -0.36666666666666664x; interpolation 
330<= x < 360; y_11 = -97.0 + 0.5x; interpolation 
360<= x < 390; y_12 = 275.0 + -0.5333333333333333x; interpolation 
390<= x < 420; y_13 = 67.0 + 0.0x; interpolation 
420<= x < 450; y_14 = -157.0 + 0.5333333333333333x; interpolation 
450<= x < 480; y_15 = 83.0 + 0.0x; interpolation 
480<= x < 510; y_16 = 339.0 + -0.5333333333333333x; interpolation 
510<= x < 540; y_17 = 67.0 + 0.0x; interpolation 
540<= x < 570; y_18 = -221.0 + 0.5333333333333333x; interpolation 
570<= x < 600; y_19 = 406.0 + -0.5666666666666667x; interpolation 
600<= x < 630; y_20 = 26.0 + 0.06666666666666667x; interpolation 
630<= x < 660; y_21 = 110.0 + -0.06666666666666667x; interpolation 
660<= x < 690; y_22 = -374.0 + 0.6666666666666666x; interpolation 
690<= x < 720; y_23 = 201.0 + -0.16666666666666666x; interpolation 
720<= x < 750; y_24 = 393.0 + -0.43333333333333335x; interpolation 
750<= x < 780; y_25 = -332.0 + 0.5333333333333333x; interpolation 
780<= x < 810; y_26 = 84.0 + 0.0x; interpolation 
810<= x < 840; y_27 = 111.0 + -0.03333333333333333x; interpolation 
840<= x < 870; y_28 = 83.0 + 0.0x; interpolation 
870<= x < 900; y_29 = 141.0 + -0.06666666666666667x; interpolation 
900<= x < 930; y_30 = -69.0 + 0.16666666666666666x; interpolation 
930<= x < 960; y_31 = 179.0 + -0.1x; interpolation 
960<= x < 990; y_32 = 51.0 + 0.03333333333333333x; interpolation 
990<= x < 1020; y_33 = 117.0 + -0.03333333333333333x; interpolation 
1020<= x < 1050; y_34 = 627.0 + -0.5333333333333333x; interpolation 
1050<= x < 1080; y_35 = 137.0 + -0.06666666666666667x; interpolation 
1080<= x < 1110; y_36 = -583.0 + 0.6x; interpolation 
1110<= x < 1140; y_37 = 157.0 + -0.06666666666666667x; interpolation 
1140<= x < 1170; y_38 = 43.0 + 0.03333333333333333x; interpolation 
1170<= x < 1200; y_39 = 82.0 + 0.0x; interpolation 
1200<= x < 1230; y_40 = 202.0 + -0.1x; interpolation 
1230<= x < 1260; y_41 = -126.0 + 0.16666666666666666x; interpolation 
1260<= x < 1290; y_42 = 126.0 + -0.03333333333333333x; interpolation 
1290<= x < 1320; y_43 = 126.0 + -0.03333333333333333x; interpolation 
1320<= x < 1350; y_44 = 742.0 + -0.5x; interpolation 
1350<= x < 1380; y_45 = 112.0 + -0.03333333333333333x; interpolation 
1380<= x < 1410; y_46 = -26.0 + 0.06666666666666667x; interpolation 
1410<= x < 1440; y_47 = -402.0 + 0.3333333333333333x; interpolation 
1440<= x < 1470; y_48 = -210.0 + 0.2x; interpolation 
1470<= x < 1500; y_49 = 231.0 + -0.1x; interpolation 
1500<= x < 1530; y_50 = 1131.0 + -0.7x; interpolation 
1530<= x < 1560; y_51 = -144.0 + 0.13333333333333333x; interpolation 
1560<= x < 1590; y_52 = -872.0 + 0.6x; interpolation 
1590<= x < 1620; y_53 = 82.0 + 0.0x; interpolation 
1620<= x < 1650; y_54 = 28.0 + 0.03333333333333333x; interpolation 
1650<= x < 1680; y_55 = 1073.0 + -0.6x; interpolation 
1680<= x < 1710; y_56 = -887.0 + 0.5666666666666667x; interpolation 
1710<= x < 1740; y_57 = 994.0 + -0.5333333333333333x; interpolation 
1740<= x < 1770; y_58 = -50.0 + 0.06666666666666667x; interpolation 
1770<= x < 1800; y_59 = 127.0 + -0.03333333333333333x; interpolation 
1800<= x < 1830; y_60 = -893.0 + 0.5333333333333333x; interpolation 
1830<= x < 1860; y_61 = 1364.0 + -0.7x; interpolation 
1860<= x < 1890; y_62 = -248.0 + 0.16666666666666666x; interpolation 
1890<= x < 1920; y_63 = -941.0 + 0.5333333333333333x; interpolation 
1920<= x < 1950; y_64 = 979.0 + -0.4666666666666667x; interpolation 
1950<= x < 1980; y_65 = 264.0 + -0.1x; interpolation 
1980<= x < 2010; y_66 = -66.0 + 0.06666666666666667x; interpolation 
2010<= x < 2040; y_67 = 135.0 + -0.03333333333333333x; interpolation 
2040<= x < 2070; y_68 = -1.0 + 0.03333333333333333x; interpolation 
2070<= x < 2100; y_69 = -967.0 + 0.5x; interpolation 
2100<= x < 2130; y_70 = 363.0 + -0.13333333333333333x; interpolation 
2130<= x < 2160; y_71 = 3700.0 + -1.7x; interpolation 
2160<= x < 2190; y_72 = 172.0 + -0.06666666666666667x; interpolation 
2190<= x < 2220; y_73 = -3916.0 + 1.8x; interpolation 
2220<= x < 2250; y_74 = 1042.0 + -0.43333333333333335x; interpolation 
2250<= x < 2280; y_75 = -833.0 + 0.4x; interpolation 
2280<= x < 2310; y_76 = 914.9999999999999 + -0.36666666666666664x; interpolation 
2310<= x < 2340; y_77 = -1010.0 + 0.4666666666666667x; interpolation 
2340<= x < 2370; y_78 = 4.0 + 0.03333333333333333x; interpolation 
2370<= x < 2400; y_79 = 1426.0 + -0.5666666666666667x; interpolation 
2400<= x < 2430; y_80 = -1374.0 + 0.6x; interpolation 
2430<= x < 2460; y_81 = 246.0 + -0.06666666666666667x; interpolation 
2460<= x < 2490; y_82 = 1148.0 + -0.43333333333333335x; interpolation 
2490<= x < 2520; y_83 = 318.0 + -0.1x; interpolation 
2520<= x < 2550; y_84 = -186.0 + 0.1x; interpolation 
2550<= x < 2580; y_85 = -1206.0 + 0.5x; interpolation 
2580<= x < 2610; y_86 = 256.0 + -0.06666666666666667x; interpolation 
2610<= x < 2640; y_87 = 1387.0 + -0.5x; interpolation 
2640<= x < 2670; y_88 = -21.0 + 0.03333333333333333x; interpolation 
2670<= x < 2700; y_89 = -1267.0 + 0.5x; interpolation 
2700<= x < 2730; y_90 = 263.0 + -0.06666666666666667x; interpolation 
2730<= x < 2760; y_91 = -10.0 + 0.03333333333333333x; interpolation 
2760<= x < 2790; y_92 = 358.0 + -0.1x; interpolation 
2790<= x < 2820; y_93 = 1195.0 + -0.4x; interpolation 
2820<= x < 2850; y_94 = -27.0 + 0.03333333333333333x; interpolation 
2850<= x < 2880; y_95 = -1167.0 + 0.43333333333333335x; interpolation 
2880<= x < 2910; y_96 = 1233.0 + -0.4x; interpolation 
2910<= x < 2940; y_97 = -1386.0 + 0.5x; interpolation 
2940<= x < 2970; y_98 = 966.0 + -0.3x; interpolation 
2970<= x < 3000; y_99 = -717.0 + 0.26666666666666666x; interpolation 
3000<= x < 3030; y_100 = 283.0 + -0.06666666666666667x; interpolation 
3030<= x < 3060; y_101 = -20.0 + 0.03333333333333333x; interpolation 
3060<= x < 3090; y_102 = 82.0 + 0.0x; interpolation 
3090<= x < 3120; y_103 = -330.0 + 0.13333333333333333x; interpolation 
3120<= x < 3150; y_104 = 294.0 + -0.06666666666666667x; interpolation 
3150<= x < 3180; y_105 = 1869.0 + -0.5666666666666667x; interpolation 
3180<= x < 3210; y_106 = -1417.0 + 0.4666666666666667x; interpolation 
3210<= x < 3240; y_107 = 1793.0 + -0.5333333333333333x; interpolation 
3240<= x < 3270; y_108 = -367.0 + 0.13333333333333333x; interpolation 
3270<= x < 3300; y_109 = -1457.0 + 0.4666666666666667x; interpolation 
3300<= x < 3330; y_110 = 743.0 + -0.2x; interpolation 
3330<= x < 3360; y_111 = -478.0 + 0.16666666666666666x; interpolation 
3360<= x < 3390; y_112 = -30.0 + 0.03333333333333333x; interpolation 
3390<= x < 3420; y_113 = -30.0 + 0.03333333333333333x; interpolation 
3420<= x < 3450; y_114 = 198.0 + -0.03333333333333333x; interpolation 
3450<= x < 3480; y_115 = -32.0 + 0.03333333333333333x; interpolation 
