0<= x < 30; y_0 = 58.0 + 0.6333333333333333x; interpolation 
30<= x < 60; y_1 = 94.0 + -0.5666666666666667x; interpolation 
60<= x < 90; y_2 = 22.0 + 0.6333333333333333x; interpolation 
90<= x < 120; y_3 = 121.0 + -0.4666666666666667x; interpolation 
120<= x < 150; y_4 = 17.0 + 0.4x; interpolation 
150<= x < 180; y_5 = 97.0 + -0.13333333333333333x; interpolation 
180<= x < 210; y_6 = 37.0 + 0.2x; interpolation 
210<= x < 240; y_7 = 121.0 + -0.2x; interpolation 
240<= x < 270; y_8 = 25.0 + 0.2x; interpolation 
270<= x < 300; y_9 = 124.0 + -0.16666666666666666x; interpolation 
300<= x < 330; y_10 = 174.0 + -0.3333333333333333x; interpolation 
330<= x < 360; y_11 = -90.0 + 0.4666666666666667x; interpolation 
360<= x < 390; y_12 = 270.0 + -0.5333333333333333x; interpolation 
390<= x < 420; y_13 = 49.0 + 0.03333333333333333x; interpolation 
420<= x < 450; y_14 = -105.0 + 0.4x; interpolation 
450<= x < 480; y_15 = -15.0 + 0.2x; interpolation 
480<= x < 510; y_16 = 353.0 + -0.5666666666666667x; interpolation 
510<= x < 540; y_17 = 98.0 + -0.06666666666666667x; interpolation 
540<= x < 570; y_18 = -280.0 + 0.6333333333333333x; interpolation 
570<= x < 600; y_19 = 518.0 + -0.7666666666666667x; interpolation 
600<= x < 630; y_20 = -62.0 + 0.2x; interpolation 
630<= x < 660; y_21 = 106.0 + -0.06666666666666667x; interpolation 
660<= x < 690; y_22 = -356.0 + 0.6333333333333333x; interpolation 
690<= x < 720; y_23 = 81.0 + 0.0x; interpolation 
720<= x < 750; y_24 = 489.0 + -0.5666666666666667x; interpolation 
750<= x < 780; y_25 = -361.0 + 0.5666666666666667x; interpolation 
780<= x < 810; y_26 = 107.0 + -0.03333333333333333x; interpolation 
810<= x < 840; y_27 = 134.0 + -0.06666666666666667x; interpolation 
840<= x < 870; y_28 = -6.0 + 0.1x; interpolation 
870<= x < 900; y_29 = 81.0 + 0.0x; interpolation 
900<= x < 930; y_30 = 51.0 + 0.03333333333333333x; interpolation 
930<= x < 960; y_31 = 51.0 + 0.03333333333333333x; interpolation 
960<= x < 990; y_32 = 147.0 + -0.06666666666666667x; interpolation 
990<= x < 1020; y_33 = 114.0 + -0.03333333333333333x; interpolation 
1020<= x < 1050; y_34 = 658.0 + -0.5666666666666667x; interpolation 
1050<= x < 1080; y_35 = 98.0 + -0.03333333333333333x; interpolation 
1080<= x < 1110; y_36 = -514.0 + 0.5333333333333333x; interpolation 
1110<= x < 1140; y_37 = 4.0 + 0.06666666666666667x; interpolation 
1140<= x < 1170; y_38 = 194.0 + -0.1x; interpolation 
1170<= x < 1200; y_39 = -79.0 + 0.13333333333333333x; interpolation 
1200<= x < 1230; y_40 = 161.0 + -0.06666666666666667x; interpolation 
1230<= x < 1260; y_41 = 38.0 + 0.03333333333333333x; interpolation 
1260<= x < 1290; y_42 = 80.0 + 0.0x; interpolation 
1290<= x < 1320; y_43 = 123.0 + -0.03333333333333333x; interpolation 
1320<= x < 1350; y_44 = 739.0 + -0.5x; interpolation 
1350<= x < 1380; y_45 = 154.0 + -0.06666666666666667x; interpolation 
1380<= x < 1410; y_46 = -30.0 + 0.06666666666666667x; interpolation 
1410<= x < 1440; y_47 = -453.0 + 0.36666666666666664x; interpolation 
1440<= x < 1470; y_48 = -165.0 + 0.16666666666666666x; interpolation 
1470<= x < 1500; y_49 = -18.0 + 0.06666666666666667x; interpolation 
1500<= x < 1530; y_50 = 1482.0 + -0.9333333333333333x; interpolation 
1530<= x < 1560; y_51 = -354.0 + 0.26666666666666666x; interpolation 
1560<= x < 1590; y_52 = -770.0 + 0.5333333333333333x; interpolation 
1590<= x < 1620; y_53 = -81.0 + 0.1x; interpolation 
1620<= x < 1650; y_54 = 81.0 + 0.0x; interpolation 
1650<= x < 1680; y_55 = 1126.0 + -0.6333333333333333x; interpolation 
1680<= x < 1710; y_56 = -890.0 + 0.5666666666666667x; interpolation 
1710<= x < 1740; y_57 = 1048.0 + -0.5666666666666667x; interpolation 
1740<= x < 1770; y_58 = 4.0 + 0.03333333333333333x; interpolation 
1770<= x < 1800; y_59 = 122.0 + -0.03333333333333333x; interpolation 
1800<= x < 1830; y_60 = -898.0 + 0.5333333333333333x; interpolation 
1830<= x < 1860; y_61 = 1115.0 + -0.5666666666666667x; interpolation 
1860<= x < 1890; y_62 = -125.0 + 0.1x; interpolation 
1890<= x < 1920; y_63 = -1070.0 + 0.6x; interpolation 
1920<= x < 1950; y_64 = 1234.0 + -0.6x; interpolation 
1950<= x < 1980; y_65 = 194.0 + -0.06666666666666667x; interpolation 
1980<= x < 2010; y_66 = -70.0 + 0.06666666666666667x; interpolation 
2010<= x < 2040; y_67 = 198.0 + -0.06666666666666667x; interpolation 
2040<= x < 2070; y_68 = -74.0 + 0.06666666666666667x; interpolation 
2070<= x < 2100; y_69 = -971.0 + 0.5x; interpolation 
2100<= x < 2130; y_70 = 359.0 + -0.13333333333333333x; interpolation 
2130<= x < 2160; y_71 = 3554.0 + -1.6333333333333333x; interpolation 
2160<= x < 2190; y_72 = 242.0 + -0.1x; interpolation 
2190<= x < 2220; y_73 = -4065.0 + 1.8666666666666667x; interpolation 
2220<= x < 2250; y_74 = 1189.0 + -0.5x; interpolation 
2250<= x < 2280; y_75 = -1061.0 + 0.5x; interpolation 
2280<= x < 2310; y_76 = 1219.0 + -0.5x; interpolation 
2310<= x < 2340; y_77 = -1091.0 + 0.5x; interpolation 
2340<= x < 2370; y_78 = -77.0 + 0.06666666666666667x; interpolation 
2370<= x < 2400; y_79 = 1582.0 + -0.6333333333333333x; interpolation 
2400<= x < 2430; y_80 = -1458.0 + 0.6333333333333333x; interpolation 
2430<= x < 2460; y_81 = 243.0 + -0.06666666666666667x; interpolation 
2460<= x < 2490; y_82 = 1309.0 + -0.5x; interpolation 
2490<= x < 2520; y_83 = 147.0 + -0.03333333333333333x; interpolation 
2520<= x < 2550; y_84 = -105.0 + 0.06666666666666667x; interpolation 
2550<= x < 2580; y_85 = -1295.0 + 0.5333333333333333x; interpolation 
2580<= x < 2610; y_86 = 253.0 + -0.06666666666666667x; interpolation 
2610<= x < 2640; y_87 = 1471.0 + -0.5333333333333333x; interpolation 
2640<= x < 2670; y_88 = -25.0 + 0.03333333333333333x; interpolation 
2670<= x < 2700; y_89 = -1182.0 + 0.4666666666666667x; interpolation 
2700<= x < 2730; y_90 = 258.0 + -0.06666666666666667x; interpolation 
2730<= x < 2760; y_91 = -288.0 + 0.13333333333333333x; interpolation 
2760<= x < 2790; y_92 = 540.0 + -0.16666666666666666x; interpolation 
2790<= x < 2820; y_93 = 1284.0 + -0.43333333333333335x; interpolation 
2820<= x < 2850; y_94 = -32.0 + 0.03333333333333333x; interpolation 
2850<= x < 2880; y_95 = -1647.0 + 0.6x; interpolation 
2880<= x < 2910; y_96 = 1617.0 + -0.5333333333333333x; interpolation 
2910<= x < 2940; y_97 = -1487.0 + 0.5333333333333333x; interpolation 
2940<= x < 2970; y_98 = 767.0 + -0.23333333333333334x; interpolation 
2970<= x < 3000; y_99 = 668.0 + -0.2x; interpolation 
3000<= x < 3030; y_100 = -1032.0 + 0.36666666666666664x; interpolation 
3030<= x < 3060; y_101 = 79.0 + 0.0x; interpolation 
3060<= x < 3090; y_102 = 79.0 + 0.0x; interpolation 
3090<= x < 3120; y_103 = -127.0 + 0.06666666666666667x; interpolation 
3120<= x < 3150; y_104 = 81.0 + 0.0x; interpolation 
3150<= x < 3180; y_105 = 1971.0 + -0.6x; interpolation 
3180<= x < 3210; y_106 = -1421.0 + 0.4666666666666667x; interpolation 
3210<= x < 3240; y_107 = 1575.0 + -0.4666666666666667x; interpolation 
3240<= x < 3270; y_108 = -45.0 + 0.03333333333333333x; interpolation 
3270<= x < 3300; y_109 = -1571.0 + 0.5x; interpolation 
3300<= x < 3330; y_110 = 299.0 + -0.06666666666666667x; interpolation 
3330<= x < 3360; y_111 = -589.0 + 0.2x; interpolation 
3360<= x < 3390; y_112 = 531.0 + -0.13333333333333333x; interpolation 
3390<= x < 3420; y_113 = -147.0 + 0.06666666666666667x; interpolation 
3420<= x < 3450; y_114 = -33.0 + 0.03333333333333333x; interpolation 
3450<= x < 3480; y_115 = 312.0 + -0.06666666666666667x; interpolation 
3480<= x < 3510; y_116 = 1820.0 + -0.5x; interpolation 
3510<= x < 3540; y_117 = -1573.0 + 0.4666666666666667x; interpolation 
3540<= x < 3570; y_118 = 315.0 + -0.06666666666666667x; interpolation 
3570<= x < 3600; y_119 = -280.0 + 0.1x; interpolation 
3600<= x < 3630; y_120 = 320.0 + -0.06666666666666667x; interpolation 
3630<= x < 3660; y_121 = -527.0 + 0.16666666666666666x; interpolation 
3660<= x < 3690; y_122 = 693.0 + -0.16666666666666666x; interpolation 
3690<= x < 3720; y_123 = -414.0 + 0.13333333333333333x; interpolation 
3720<= x < 3750; y_124 = 702.0 + -0.16666666666666666x; interpolation 
3750<= x < 3780; y_125 = 1827.0 + -0.4666666666666667x; interpolation 
3780<= x < 3810; y_126 = -2331.0 + 0.6333333333333333x; interpolation 
3810<= x < 3840; y_127 = 209.0 + -0.03333333333333333x; interpolation 
3840<= x < 3870; y_128 = 977.0 + -0.23333333333333334x; interpolation 
3870<= x < 3900; y_129 = 1493.0 + -0.36666666666666664x; interpolation 
3900<= x < 3930; y_130 = -197.0 + 0.06666666666666667x; interpolation 
3930<= x < 3960; y_131 = -1769.0 + 0.4666666666666667x; interpolation 
3960<= x < 3990; y_132 = 211.0 + -0.03333333333333333x; interpolation 
3990<= x < 4020; y_133 = 2073.0 + -0.5x; interpolation 
4020<= x < 4050; y_134 = -205.0 + 0.06666666666666667x; interpolation 
